"STATE","CITY","LAT","LON","NAME"
"AL","Talladega",33.42228,-86.077421,"Talladega Career Technical Center"
"AL","Sylacauga",33.178673,-86.258055,"BB Comer Memorial High School"
"AL","Childersburg",33.273707,-86.341611,"Childersburg High School"
"AL","Lincoln",33.6345,-86.1022,"Lincoln High School"
"AL","Talladega",33.4915,-86.1602,"Talladega County Central High"
"AL","Munford",33.5249,-85.9483,"Munford High School"
"AL","Alpine",33.321311,-86.197331,"Winterboro High School"
"AL","Dadeville",32.8296,-85.7545,"Dadeville High School"
"AL","Notasulga",32.603005,-85.802592,"Reeltown High School"
"AL","Camp Hill",32.80457,-85.644125,"Edward Bell Career Technical Center"
"AL","Tallassee",32.537,-85.8973,"Tallassee High School"
"AL","Tarrant",33.614075,-86.773092,"Tarrant High School"
"AL","Thomasville",31.8857,-87.7367,"Thomasville High School"
"AL","Troy",31.813,-85.9624,"Alternative Learning Center"
"AL","Troy",31.802093,-85.947971,"Charles Henderson High School"
"AL","Troy",31.810953,-85.951993,"TroyPike Regional Center For Technology"
"AL","Tuscaloosa",33.187067,-87.579012,"Tuscaloosa Career and Technology Academy"
"AL","Tuscaloosa",33.1982,-87.5491,"Central High School"
"AL","Cottondale",33.1576,-87.453,"Paul W Bryant High School"
"AL","Tuscaloosa",33.2443,-87.5275,"Northridge High School"
"AL","Tuscaloosa",33.13,-87.5378,"Hillcrest High School"
"AL","Tuscaloosa",33.152376,-87.521824,"Tuscaloosa County Juvenile Detention Center"
"AL","Brookwood",33.257211,-87.312103,"Brookwood High School"
"AL","Tuscaloosa",33.219499,-87.476899,"Holt High School"
"AL","Northport",33.4702,-87.6331,"Northside High School"
"AL","Northport",33.3078,-87.6084,"Tuscaloosa County High School"
"AL","Buhl",33.193075,-87.733971,"Sipsey Valley High School"
"AL","Tuscumbia",34.738515,-87.701957,"Deshler High School"
"AL","Tuscumbia",34.7387,-87.7009,"Deshler Career Technical Center"
"AL","Vestavia Hills",33.419277,-86.780231,"Vestavia Hills High School"
"AL","Carbon Hill",33.903659,-87.50535,"Carbon Hill High School"
"AL","Jasper",33.834386,-87.262509,"Walker County Center Of Technology"
"AL","Cordova",33.766139,-87.183547,"Cordova High School"
"AL","Jasper",33.958258,-87.215813,"Curry High School"
"AL","Dora",33.7502,-87.0618,"Dora High School"
"AL","Oakman",33.7197,-87.38558,"Oakman High School"
"AL","Chatom",31.453181,-88.204357,"Washington County Career Technical Center"
"AL","Chatom",31.46182,-88.251362,"Washington County High School"
"AL","McIntosh",31.254091,-88.024996,"McIntosh High School"
"AL","Camden",32.007064,-87.322367,"Wilcox Central High School"
"AL","Winfield",33.9415,-87.8209,"Winfield High School"
"AL","Double Springs",34.165028,-87.399062,"Winston County Technical Center"
"AL","Addison",34.205237,-87.182667,"Addison High School"
"AL","Double Springs",34.164792,-87.39719,"Winston County High School"
"AL","Lynn",34.045134,-87.547244,"Lynn High School"
"AL","Arley",34.079762,-87.213166,"Meek High School"
"AL","Orange Beach",30.28955,-87.618274,"Orange Beach MiddleHigh School"
"AK","Bethel",60.802584,-161.770398,"Bethel Regional High School"
"AK","Bethel",60.796131,-161.765194,"Kuskokwim Learning Academy"
"AK","Bethel",60.786936,-161.786984,"Bethel Youth Facility"
"AK","Sitka",57.050928,-135.351918,"Mt. Edgecumbe High School"
"AK","Naknek",58.733307,-157.004582,"Bristol Bay Middle/High School"
"AK","Cordova",60.540335,-145.758854,"Cordova Jr/Sr High School"
"AK","Glennallen",62.11293,-145.526532,"Glennallen Jr/Sr High School"
"AK","Craig",55.488495,-133.128001,"Craig High School"
"AK","Delta Junction",64.042597,-145.714013,"Delta Junction Senior High School"
"AK","Dillingham",59.042379,-158.464858,"Dillingham Middle/High School"
"AK","Galena",64.741777,-156.954394,"Galena Interior Learning Academy (GILA)"
"AK","Galena",64.746135,-156.878509,"Sidney C. Huntington Jr/Sr High School"
"AK","Ketchikan",55.353558,-131.677936,"Ketchikan High School"
"AK","Ketchikan",55.354597,-131.682928,"Revilla Jr/Sr High School"
"AK","Anchorage",61.232204,-149.7332,"Bartlett High School"
"AK","Chugiak",61.369301,-149.534616,"Chugiak High School"
"AK","Anchorage",61.142796,-149.935215,"Dimond High School"
"AK","Anchorage",61.199754,-149.805025,"Bettye Davis East Anchorage High School"
"AK","Anchorage",61.169684,-149.874234,"S.A.V.E. High School"
"AK","Anchorage",61.179553,-149.759556,"Benson Secondary/S.E.A.R.C.H."
"AK","Anchorage",61.197755,-149.893314,"Steller Secondary School"
"AK","Anchorage",61.200929,-149.917099,"West High School"
"AK","Anchorage",61.218491,-149.85702,"The New Path High School"
